"sim_id","n_events","loss"
952,8,273.148102685645
953,7,1366.44271976312
954,10,350.81281140654
955,0,0
956,0,0
957,0,0
958,4,79.3938003288088
959,0,0
960,2,350.504400032722
961,0,0
962,11,1762.47431251861
963,10,284.549722237535
964,0,0
965,8,162.083275050531
966,7,194.572451264094
967,11,530.714908882453
968,8,75.2804226911621
969,0,0
970,4,4012.36622394788
971,0,0
972,7,19.9680498662522
973,8,288.663009203635
974,0,0
975,1,137.258084646565
976,0,0
977,0,0
978,0,0
979,8,1165.72413081797
980,5,49.4156633083775
981,0,0
982,0,0
983,12,195.159756408239
984,0,0
985,4,109.008293128138
986,0,0
987,0,0
988,0,0
989,0,0
990,0,0
991,0,0
992,8,180.319782547079
993,9,1436.51768710479
994,0,0
995,0,0
996,13,8120.6454405819
997,10,22913.4086665503
998,6,511.220129412421
999,10,137.186816586846
1000,8,3624.61031621627
1001,4,92082.0995472572
1002,9,2803.30013950763
1003,4,18865.3195752538
1004,0,0
1005,0,0
1006,0,0
1007,0,0
1008,0,0
1009,6,74.6795947222295
1010,0,0
1011,11,2594.15196491241
1012,1,1162.45296595527
1013,0,0
1014,0,0
1015,9,209.941342731822
1016,4,31.4861899090784
1017,1,0.706993169671548
1018,0,0
1019,0,0
1020,0,0
1021,0,0
1022,0,0
1023,0,0
1024,4,201.614193215601
1025,0,0
1026,7,209.099308064111
1027,0,0
1028,6,9.12673207480893
1029,4,40.4760900276846
1030,9,619.43002400457
1031,0,0
1032,0,0
1033,0,0
1034,8,169.398728746988
1035,0,0
1036,2,4.72535577823556
1037,0,0
1038,3,14067.3092184771
1039,8,719.727326825233
1040,6,533.972735790162
1041,5,276.604944965727
1042,11,405.022567198173
1043,5,77.6439631776955
1044,0,0
1045,0,0
1046,8,97.1048913687506
1047,12,1499.73698182809
1048,0,0
1049,8,119.031772660809
1050,5,417.809766886857
1051,0,0
1052,11,234.093104087132
1053,0,0
1054,3,17.0413469009712
1055,10,264.695852315368
1056,9,4448.0775004426
1057,4,7842.84411180534
1058,0,0
1059,3,15.9739394958569
1060,5,105.029766373353
1061,6,20.3719297417868
1062,8,5133.86081897228
1063,9,331.648674145245
1064,9,83.8238983530273
1065,7,98.6980443730817
1066,0,0
1067,1,5.82257633948813
1068,6,35.5013742651731
1069,0,0
1070,7,1391.00598016369
1071,0,0
1072,0,0
1073,0,0
1074,4,1765.20087165881
1075,2,410.195410111322
1076,0,0
1077,2,6264.94938576568
1078,2,12.5155057956229
1079,2,0.103762520419933
1080,3,4198.44244549453
1081,3,224.480323019458
1082,0,0
1083,9,2152.38481739241
1084,7,183.561972849511
1085,0,0
1086,12,1326.43061514174
1087,0,0
1088,0,0
1089,11,751.654767835444
1090,0,0
1091,5,338.795055439782
1092,4,1479.42458855905
1093,5,24.7397878942567
1094,0,0
1095,5,243.111510707509
1096,0,0
1097,7,3623.00286875111
1098,0,0
1099,8,1050.22101973018
1100,0,0
1101,0,0
1102,7,17.5501009747397
1103,0,0
1104,0,0
1105,3,64.4250630124555
1106,0,0
1107,0,0
1108,0,0
1109,6,0.609784592250797
1110,5,133.094576693975
1111,1,0.639150297180523
1112,0,0
1113,0,0
1114,5,1696.4080870042
1115,0,0
1116,5,30.646039494587
1117,8,4491.76795343885
1118,4,8.88711748624614
1119,0,0
1120,0,0
1121,7,238.390070686757
1122,2,1664.71148849819
1123,0,0
1124,9,1580.58017283444
1125,3,106.185476564787
1126,0,0
1127,3,16.0086931360757
1128,0,0
1129,0,0
1130,0,0
1131,8,156.834746389416
1132,0,0
1133,9,14123.159050205
1134,0,0
1135,7,602.24002135136
1136,5,8379.83064224491
1137,0,0
1138,8,257.931140723667
1139,0,0
1140,0,0
1141,0,0
1142,3,2044.33110133859
1143,1,6.83007554635151
1144,0,0
1145,7,414.872800419569
1146,9,1160.96345896696
1147,0,0
1148,0,0
1149,6,1580.74156884774
1150,0,0
1151,0,0
1152,8,514.091974875224
1153,0,0
1154,6,1220.66623051518
1155,3,2174.39507203596
1156,0,0
1157,0,0
1158,5,22448.630205728
1159,5,297.319425539929
1160,7,2385.56234354948
1161,0,0
1162,10,1224.77765918121
1163,3,14.375375125407
1164,3,4.37210924252017
1165,7,336.537733368547
1166,0,0
1167,15,754.023363260338
